rank	Country	GII	HDI	Region
131	India	0.529904256523354	0.623558794484469	Asia
132	Bhutan	0.477287288422903	0.606533531723596	Oceanië
133	Timor-Leste	..	0.605494766871251	Oceanië
134	Vanuatu	..	0.596713757022763	Oceanië
135	Congo	0.591718512518139	0.592284049457108	Africa
135	Equatorial Guinea	..	0.592436178771294	Oceanië
137	Kiribati	..	0.58812639860141	Oceanië
138	Lao People's Democratic Republic	0.46750018600874	0.586044801234356	Oceanië
139	Bangladesh	0.520275521116828	0.578824028441254	Africa
139	Ghana	0.546521362811764	0.57882883239996	Africa
139	Zambia	0.526143286263463	0.579069985656843	Africa
142	Sao Tome and Principe	0.523864993454333	0.573727338484542	Oceanië
143	Cambodia	0.478936247510695	0.563082193622539	Oceanië
144	Nepal	0.497411023610674	0.558162138507956	Oceanië
145	Myanmar	0.373561043740213	0.555566347354292	Oceanië
146	Kenya	0.56467248639952	0.554678518436028	Oceanië
147	Pakistan	0.545573379784088	0.550354164995684	Oceanië
148	Swaziland	0.565807948423612	0.541047936400031	Oceanië
149	Syrian Arab Republic	0.553682380856436	0.53588684380532	Oceanië
150	Angola	..	0.533464072895593	Africa
151	Tanzania (United Republic of)	0.54381244694859	0.530576615748545	Africa
152	Nigeria	..	0.527104538851146	Africa
153	Cameroon	0.567912869879377	0.517547036587028	Oceanië
154	Papua New Guinea	0.594943563740069	0.516168319355436	Oceanië
154	Zimbabwe	0.540215352381255	0.515640183250025	Oceanië
156	Solomon Islands	..	0.514999307951629	Oceanië
157	Mauritania	0.626496876172678	0.513106013991871	Oceanië
158	Madagascar	..	0.512149002634871	Oceanië
159	Rwanda	0.383088272433926	0.497577294727551	Africa
160	Comoros	..	0.497496166387042	Oceanië
160	Lesotho	0.549475469776493	0.497367956227455	Oceanië
162	Senegal	0.521060459328438	0.493982965211962	Africa
163	Haiti	0.593410013842969	0.492813351646712	Oceanië
163	Uganda	0.522434328246347	0.49283418500576	Africa
165	Sudan	0.574838890489009	0.490188347991238	Africa
166	Togo	0.555502695853622	0.487358895867444	Africa
167	Benin	0.612688947796225	0.485096406004906	Africa
168	Yemen	0.767489472268367	0.482402156434618	Oceanië
169	Afghanistan	0.666664075015604	0.479375005926672	Oceanië
170	Malawi	0.614085331382757	0.475935463052037	Oceanië
171	Côte d'Ivoire	0.672030210771012	0.473679284991255	Oceanië
172	Djibouti	..	0.473134228975724	Oceanië
173	Gambia	0.640685630052906	0.451574500557824	Africa
174	Ethiopia	0.498626663759015	0.447750459018102	Oceanië
175	Mali	0.688552764176177	0.44210869299444	Oceanië
176	Congo (Democratic Republic of the)	0.662960014183652	0.435464669613531	Africa
177	Liberia	0.648710835480403	0.426898502082858	Africa
178	Guinea-Bissau	..	0.423839922746506	Africa
179	Eritrea	..	0.420153487347265	Africa
179	Sierra Leone	0.650187220000495	0.420312260411299	Africa
181	Mozambique	0.573865980849152	0.417590161343549	Africa
181	South Sudan	..	0.418303339572638	Africa
183	Guinea	..	0.414186306221596	Africa
184	Burundi	0.473951831172848	0.403765414805571	Oceanië
185	Burkina Faso	0.615141770140851	0.401740104144638	Africa
186	Chad	0.694627317544446	0.396073224468533	Oceanië
187	Niger	0.69546071428018	0.352640669602266	Africa
188	Central African Republic	0.648289535716633	0.352440200154679	Africa
